% time  amplitude  freq   approx.island width[cm] (CATS)
60.2787  0.000688194  7.8125  7.576492
60.2869  0.000696293  7.8125  7.620968
60.2951  0.000707058  7.8125  7.679678
60.3033  0.000732246  7.75146  7.815292
60.3115  0.000777811  7.75146  8.054801
60.3197  0.000721674  7.75146  7.758705
60.3279  0.000715493  7.75146  7.725421
60.3361  0.000760989  7.69043  7.967264
60.3443  0.000762666  7.69043  7.976044
60.3525  0.000739567  7.56836  7.854331
60.3607  0.000732992  7.62939  7.819337
60.3689  0.000750673  7.62939  7.913075
60.377  0.000757515  7.56836  7.949042
60.3852  0.00077822  7.56836  8.056926
60.3934  0.00067414  7.50732  7.498804
60.4016  0.000827727  7.44629  8.309196
60.4098  0.000737896  7.50732  7.845331
60.418  0.000688816  7.50732  7.579898
60.4262  0.000732031  7.50732  7.814016
60.4344  0.000705157  7.44629  7.669202
60.4426  0.000702026  7.44629  7.652112
60.4508  0.000690701  7.50732  7.590094
60.459  0.000695013  7.50732  7.6137
60.4672  0.000703113  7.56836  7.657887
60.4754  0.000706999  7.56836  7.678967
60.4836  0.000715012  7.56836  7.722306
60.4918  0.000670707  7.56836  7.479174
60.5  0.000822658  7.44629  8.283115
60.5082  0.000795923  7.32422  8.147349
60.5164  0.000634414  7.32422  7.273843
60.5246  0.000803923  7.26318  8.18807
60.5328  0.000717186  7.26318  7.733694
60.541  0.000723754  7.20215  7.768969
60.5492  0.000701204  7.14111  7.646928
60.5574  0.000796554  7.20215  8.15022
60.5656  0.000674329  7.20215  7.49885
60.5738  0.000701982  7.14111  7.651012
60.582  0.00071178  7.14111  7.704174
60.5902  0.000713704  7.14111  7.714533
60.5984  0.000773522  7.08008  8.031274
60.6066  0.000718459  7.01904  7.740104
60.6148  0.000738494  7.01904  7.847245
60.623  0.000707444  7.08008  7.680471
60.6311  0.000846875  7.08008  8.403299
60.6393  0.000717415  7.20215  7.734352
60.6475  0.000718177  7.14111  7.738435
60.6557  0.000713789  7.20215  7.714739
60.6639  0.000815112  7.14111  8.244114
60.6721  0.000720168  7.08008  7.749104
60.6803  0.000729026  7.08008  7.796604
60.6885  0.00072097  7.08008  7.753398
60.6967  0.000719223  7.08008  7.743993
60.7049  0.000694254  7.08008  7.608379
60.7131  0.000725564  7.08008  7.77805
60.7213  0.00075518  7.14111  7.935205
60.7295  0.000698741  7.01904  7.632928
60.7377  0.000692734  7.01904  7.600052
60.7459  0.000701393  7.01904  7.647409
60.7541  0.000822032  7.14111  8.279009
60.7623  0.000748583  7.44629  7.900498
60.7705  0.000689441  7.44629  7.581996
60.7787  0.000714128  7.44629  7.716558
60.7869  0.000711498  7.50732  7.702346
60.7951  0.000700741  7.44629  7.643911
60.8033  0.000683431  7.50732  7.548921
60.8115  0.000714436  7.50732  7.718269
60.8197  0.000737005  7.50732  7.839243
60.8279  0.000743314  7.38525  7.872738
60.8361  0.000685566  7.32422  7.560751
60.8443  0.000691963  7.32422  7.595956
60.8525  0.00070221  7.32422  7.652003
60.8607  0.000705221  7.32422  7.668402
60.8689  0.000705174  7.32422  7.668157
60.877  0.000725035  7.32422  7.775402
60.8852  0.000694046  7.38525  7.60743
60.8934  0.000719044  7.38525  7.743227
60.9016  0.000696916  7.38525  7.623157
60.9098  0.000700129  7.32422  7.640717
60.918  0.000717358  7.38525  7.734164
60.9262  0.000701506  7.38525  7.64824
60.9344  0.000728443  7.38525  7.793705
60.9426  0.000709893  7.38525  7.693837
60.9508  0.000695221  7.44629  7.613921
60.959  0.000707383  7.44629  7.680237
60.9672  0.000697879  7.44629  7.628477
