14
   2.6133475e-01   5.0321165e+03   3.0654771e+02
   2.8800301e-01   4.7766478e+03   4.2602649e+02
   3.4857295e-01   5.1845693e+03   8.7884603e+02
   3.7564916e-01   4.2966921e+03   4.1772437e+02
   4.4328230e-01   3.0776406e+03   1.2063240e+03
   4.7711858e-01   1.1997448e+03   2.5026000e+02
   4.9985345e-01   1.1677291e+03   3.5031873e+02
   5.7426492e-01   8.6684973e+02   1.1581161e+02
   6.3152980e-01   7.3283759e+02   1.4937976e+01
   7.2071410e-01   6.5532394e+02   3.0581030e+01
   7.8034125e-01   5.3287538e+02   3.0998393e+01
   8.8245759e-01   4.1631372e+02   7.7878852e+01
   9.4738173e-01   3.8570087e+02   2.7253260e+02
   1.0786157e+00   1.0845387e+02   9.5535856e+01
